"ParameterName","Kplas_Increase","Kmusc_Increase","Kplas_Decrease","Kmusc_Decrease"
"kgut",5.19723083787952,167.806617752176,4.83226273036015,152.685218007661
"V_plasma",5.03719316135824,160.659105652258,5.02840497238656,160.717352873069
"V_interstitial",5.02897647355389,160.681114413106,5.03739450646708,160.690642524703
"V_muscle",4.98646439460124,158.963390191019,5.07421223799984,162.24679754562
"P_ECF",5.05080054735488,160.745042650517,5.01154707171894,160.618347982762
"Vmax",5.03333603047727,160.693535872301,5.03245338064574,160.68023248351
"Km",5.02674529660028,161.074023385695,5.03945052933303,160.278645035266
"GFR_base",4.67535661765176,149.137345191431,5.41409981823739,174.871275817354
"eta_ptKreab_base",5.2694982895944,169.239226218947,4.80569615031556,153.170870155118
"eta_LoHKreab",5.20387983158399,166.787611781301,4.86691915706841,155.133291098039
"eta_ptKreab_highK",5.16387487346509,165.323565689446,4.92744903106475,157.118097568194
"dtKsec_eq",4.75212732993656,150.929486103564,5.31639288742641,171.771830845199
"A_dtKsec",4.75212732964347,150.929486152128,5.31639289348212,171.771830955501
"B_dtKsec",4.70192406837646,149.302337826029,5.34872834616778,173.117023183766
"cdKsec_eq",5.02505515113664,160.416626335575,5.040833216043,160.959658787301
"A_cdKsec",5.02505512031422,160.416626401637,5.04083322013216,160.959658755162
"B_cdKsec",5.01558557937642,160.093427112618,5.04723069576932,161.179964405831
"alpha_TGF",5.14132854044829,164.508443204061,4.92654939509872,157.088266584116
"A_cdKreab",5.59011020929736,183.033904423927,4.50559916797951,143.658902750206
"ALD_eq",4.94146706682109,162.79607282869,5.13267537456294,158.417573252359
"m_K_ALDO",4.9819171132914,161.55266550646,5.08948387233533,159.728125888012
"FF",4.7863434543701,151.896605236334,5.28083481767331,170.514915502301
"A_insulin",5.09102304826401,162.89548476606,4.98246286248612,158.813080638073
"B_insulin",5.13759189566175,164.706329560412,4.95971926019398,157.981560897373
"alpha_al",5.01620243537109,169.883442337976,5.04993925024197,151.492129842448
"beta_al",5.00764181527978,165.366376665885,5.05733698984371,155.824429071323
"k",5.02030254371959,160.214485287998,5.04761754494335,161.240311879044
"x0",5.01878347066603,160.15778849795,5.04954412875079,161.313123272696
